iter	RMSE
727	0.1136144476
728	0.1136034988
729	0.1135598577
730	0.1135308904
731	0.1135265941
732	0.1134806606
733	0.1134552047
734	0.113397339
735	0.1133271693
736	0.1132793491
737	0.1131974959
738	0.1131362441
739	0.113078071
740	0.113077185
741	0.1130387643
742	0.1129778567
743	0.1129104787
744	0.1128377647
745	0.112744234
746	0.1126954742
747	0.1126734606
748	0.1126353798
749	0.1125938683
750	0.1125047833
751	0.1124691889
752	0.1124232344
753	0.1123193321
754	0.112277984
755	0.1122239629
756	0.1121871014
757	0.1121491661
758	0.1120976544
759	0.112028055
760	0.1119779649
761	0.111919745
762	0.1118812317
763	0.1118212061
764	0.1118202418
765	0.1118193161
766	0.1117720532
767	0.1117208813
768	0.1116682848
769	0.1116311637
770	0.1115557106
771	0.1115548551
772	0.1114905918
773	0.111453441
774	0.1114323244
775	0.1113622057
776	0.1113300861
777	0.1112905839
778	0.1112309537
779	0.1112073189
780	0.1111778899
781	0.1111446984
782	0.1111060073
783	0.1109898838
784	0.1109258788
785	0.1108737984
786	0.11085294
787	0.1107844878
788	0.1107519623
789	0.1107163217
790	0.1106629184
791	0.1106144833
792	0.1105409808
793	0.1105008035
794	0.1104380858
795	0.1103949477
796	0.110346974
797	0.1102852935
798	0.1102317856
799	0.110201424
800	0.1101687595
801	0.1101264256
802	0.1101246037
803	0.1100829459
804	0.1100420401
805	0.1100129967
806	0.1099815555
807	0.1098697751
808	0.1097983462
809	0.1097358735
810	0.1096926809
811	0.109691532
812	0.1096300481
813	0.1096289701
814	0.1095717661
815	0.1095321712
816	0.1095019151
817	0.1094653304
818	0.1094348156
819	0.1093893975
820	0.1093534393
821	0.1093271621
822	0.1092772657
823	0.1091872296
824	0.109159571
825	0.1090893679
826	0.1090479684
827	0.1090193685
828	0.1089431634
829	0.1088777477
830	0.108843454
831	0.1088157982
832	0.1087774973
833	0.1086789339
834	0.108646405
835	0.1085848191
836	0.1085540703
837	0.1085026486
838	0.1083991522
839	0.1083897731
840	0.1083155654
841	0.108242294
842	0.1082066499
843	0.1081820595
844	0.1081472453
845	0.1080872767
846	0.1080401884
847	0.1079664024
848	0.1078866671
849	0.1078452893
850	0.107814738
851	0.1077629643
852	0.1077618916
853	0.1077076085
854	0.1076749425
855	0.1076275512
856	0.1075888066
857	0.1075487429
858	0.1075136793
859	0.1074465895
860	0.1074039212
861	0.1073183124
862	0.1072773367
863	0.107231038
864	0.1071991241
865	0.107118784
866	0.1070689179
867	0.1070444224
868	0.1069960444
869	0.1069538462
870	0.1068924046
871	0.106809535
872	0.1067487137
873	0.1067151579
874	0.1066883014
875	0.1066300449
876	0.1066040179
877	0.1065661073
878	0.1065346458
879	0.1064837614
880	0.1064186774
881	0.1063728885
882	0.1063266742
883	0.1062774518
884	0.1062456862
885	0.1062102584
886	0.1061549796
887	0.1061100875
888	0.1060439161
889	0.10600778
890	0.1059423273
891	0.105906283
892	0.1058718678
893	0.1058246487
894	0.1057830978
895	0.1057476927
896	0.1057131576
897	0.1056801779
898	0.1056383894
899	0.1055920203
900	0.1055665344
901	0.1055149483
902	0.1054670092
903	0.1054201503
904	0.1053965961
905	0.1053081378
906	0.1052164813
907	0.1051634686
908	0.105129479
909	0.1051082593
910	0.105065683
911	0.1050378151
912	0.1050028178
913	0.1049675792
914	0.1049016063
915	0.1048561195
916	0.1048101541
917	0.1047797057
918	0.1047352149
919	0.1047058136
920	0.1046818053
921	0.104662438
922	0.1046282075
923	0.1045650295
924	0.104554147
925	0.1044786797
926	0.1044433656
927	0.1044129803
928	0.1043733703
929	0.1043251126
930	0.104295132
931	0.1042584354
932	0.1042083265
933	0.1041727615
934	0.1041327621
935	0.1041066572
936	0.1040730287
937	0.1040448168
938	0.1040294923
939	0.1039641921
940	0.1039207381
941	0.1038899794
942	0.103837062
943	0.1038023212
944	0.1037874506
945	0.1037514167
946	0.1037124886
947	0.1036865487
948	0.1036650536
949	0.1036254391
950	0.1035901507
951	0.1035180924
952	0.1034696346
953	0.1034191989
954	0.103368308
955	0.1033315953
956	0.1032987484
957	0.1032738335
958	0.1032629774
959	0.1032256404
960	0.1032007097
961	0.1031827786
962	0.1031606869
963	0.103128886
964	0.1030911351
965	0.1030574674
966	0.1030463504
967	0.1030210458
968	0.1029419584
969	0.1029097676
970	0.1028561434
971	0.1028275584
972	0.1028017962
973	0.102768102
974	0.1027117894
975	0.1026620087
976	0.1026368238
977	0.1026285901
978	0.1025859321
979	0.1025615464
980	0.102522935
981	0.1024812447
982	0.1024546685
983	0.1024312541
984	0.1023905088
985	0.1023305021
986	0.1023114127
987	0.1022642895
988	0.1022276288
989	0.1022073242
990	0.1021720156
991	0.1021353164
992	0.1020917163
993	0.1020523282
994	0.1020170567
995	0.1019759819
996	0.1019331526
997	0.1019047596
998	0.1018530761
999	0.1018133188
